10:54:30 | INFO     | conftest | Launching browser: chrome | headless=False
10:54:30 | INFO     | WDM | xdist worker is: gw2
10:54:30 | INFO     | WDM | ====== WebDriver manager ======
10:54:30 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:31 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:31 | INFO     | WDM | There is no [mac64] chromedriver "147.0.7727.117" for browser google-chrome "147.0.7727" in cache
10:54:31 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:32 | INFO     | WDM | WebDriver version 147.0.7727.117 selected
10:54:32 | INFO     | WDM | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/mac-arm64/chromedriver-mac-arm64.zip
10:54:32 | INFO     | WDM | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/mac-arm64/chromedriver-mac-arm64.zip
10:54:32 | INFO     | WDM | Driver downloading response is 200
10:54:39 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:40 | INFO     | WDM | Driver has been saved in cache [/Users/sjaditya/.wdm/gw2/drivers/chromedriver/mac64/147.0.7727.117]
10:54:42 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
10:54:44 | INFO     | LoginPage | Login page loaded
10:54:44 | DEBUG    | LoginPage | Clicking ('css selector', "button[type='submit']")
10:54:45 | WARNING  | LoginPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
10:54:46 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-UI-03-PASS_20260507_105445.png
10:54:46 | INFO     | conftest | Browser closed
