2026-05-07 10:34:38 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 10:34:39 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 10:34:40 | INFO     | LoginPage | Login page loaded
2026-05-07 10:34:40 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 10:34:41 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 10:34:43 | INFO     | conftest | UI login complete
2026-05-07 10:34:43 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:34:43 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:34:43 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 10:34:43 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:34:45 | INFO     | NotesPage | Note submitted: Automation Note 1778130283
2026-05-07 10:35:29 | INFO     | NotesPage | No explicit banner — dashboard visible, form closed; treating as success
2026-05-07 10:35:29 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-UI-04-success-banner_20260507_103529.png
2026-05-07 10:35:29 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:35:29 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:35:30 | INFO     | NotesPage | Notes visible in UI: ['Automation Note 1778130283\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:04:46\nViewEditDelete', 'Honey\nE2E description\nMay 7, 2026 at 03:51:56\nViewEditDelete']
2026-05-07 10:35:31 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/FAIL_test_create_note_valid_20260507_103530.png
2026-05-07 10:35:31 | INFO     | conftest | Browser closed
