2026-05-07 10:54:30 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 10:54:37 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 10:54:39 | INFO     | LoginPage | Login page loaded
2026-05-07 10:54:39 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 10:54:40 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 10:54:42 | INFO     | conftest | UI login complete
2026-05-07 10:54:42 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:54:42 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:54:42 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 10:54:42 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:54:43 | INFO     | api.api_client | ← POST /users/login | status=200 | 598ms
2026-05-07 10:54:43 | INFO     | api.api_client | API login successful — token acquired
2026-05-07 10:54:44 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., '+ Add Note')]") — falling back to JS click
2026-05-07 10:54:46 | INFO     | NotesPage | Note submitted: E2E Note 1778131483
2026-05-07 10:55:08 | INFO     | NotesPage | Dashboard visible after save | URL=https://practice.expandtesting.com/notes/app
2026-05-07 10:55:08 | INFO     | NotesPage | Opened All tab
2026-05-07 10:55:12 | INFO     | NotesPage | [WAIT] Attempt 1 → titles=['Instant Visibility 1778131500', 'Automation Note 1778131494', 'E2E Note 1778131483', 'Instant Visibility 1778131342', 'Automation Note 1778131256', 'Instant Visibility 1778131074', 'Automation Note 1778130989', 'Instant Visibility 1778130368', 'Automation Note 1778130283', 'Honey']
2026-05-07 10:55:12 | INFO     | NotesPage | Found note: E2E Note 1778131483
2026-05-07 10:55:12 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-01-UI-success_20260507_105512.png
2026-05-07 10:55:12 | INFO     | api.api_client | ← GET /notes | status=200 | 567ms
2026-05-07 10:55:14 | INFO     | NotesPage | Opened All tab
2026-05-07 10:55:14 | INFO     | NotesPage | Visible note titles: ['Instant Visibility 1778131500', 'Automation Note 1778131494', 'E2E Note 1778131483', 'Instant Visibility 1778131342', 'Automation Note 1778131256', 'Instant Visibility 1778131074', 'Automation Note 1778130989', 'Instant Visibility 1778130368', 'Automation Note 1778130283', 'Honey']
2026-05-07 10:55:14 | INFO     | NotesPage | Checking note existence | Expected='E2E Note 1778131483' | Visible=['Instant Visibility 1778131500', 'Automation Note 1778131494', 'E2E Note 1778131483', 'Instant Visibility 1778131342', 'Automation Note 1778131256', 'Instant Visibility 1778131074', 'Automation Note 1778130989', 'Instant Visibility 1778130368', 'Automation Note 1778130283', 'Honey']
2026-05-07 10:55:14 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-01-UI-note-visible_20260507_105514.png
2026-05-07 10:55:14 | INFO     | api.api_client | ← DELETE /notes/69fc221e81124e02985c2518 | status=200 | 377ms
2026-05-07 10:55:14 | INFO     | conftest | Browser closed
