2026-05-07 10:36:25 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 10:36:26 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 10:36:27 | INFO     | LoginPage | Login page loaded
2026-05-07 10:36:27 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 10:36:28 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 10:36:30 | INFO     | conftest | UI login complete
2026-05-07 10:36:30 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:36:30 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:36:30 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 10:36:30 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:36:31 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., '+ Add Note')]") — falling back to JS click
2026-05-07 10:36:57 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/FAIL_test_create_note_all_empty_20260507_103657.png
2026-05-07 10:36:57 | INFO     | conftest | Browser closed
