2026-05-06 21:21:43 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 21:21:45 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 21:21:51 | INFO     | LoginPage | Login page loaded
2026-05-06 21:21:51 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 21:21:52 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 21:21:54 | INFO     | conftest | UI login complete
2026-05-06 21:21:54 | INFO     | NotesPage | Already on dashboard page
2026-05-06 21:21:54 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:21:54 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 21:21:54 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:21:55 | WARNING  | NotesPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
2026-05-06 21:22:28 | INFO     | NotesPage | Success banner found in DOM
2026-05-06 21:22:28 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/FAIL_test_create_note_missing_title_20260506_212228.png
2026-05-06 21:22:28 | INFO     | conftest | Browser closed
