2026-05-06 21:42:13 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 21:42:15 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 21:42:16 | INFO     | LoginPage | Login page loaded
2026-05-06 21:42:17 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 21:42:17 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 21:42:19 | INFO     | conftest | UI login complete
2026-05-06 21:42:19 | INFO     | NotesPage | Already on dashboard page
2026-05-06 21:42:19 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:42:19 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 21:42:19 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:42:20 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., 'Add Note')]") — falling back to JS click
2026-05-06 21:42:21 | WARNING  | NotesPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
2026-05-06 21:42:22 | INFO     | NotesPage | Note submitted: Instant Visibility 1778083939
2026-05-06 21:42:34 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-UI-06-DOM-check_20260506_214234.png
2026-05-06 21:42:34 | INFO     | conftest | Browser closed
