2026-05-07 10:34:01 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 10:34:02 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 10:34:03 | INFO     | LoginPage | Login page loaded
2026-05-07 10:34:03 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 10:34:04 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 10:34:06 | INFO     | conftest | UI login complete
2026-05-07 10:34:06 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:34:06 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:34:06 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 10:34:06 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:34:07 | INFO     | api.api_client | ← POST /users/login | status=200 | 667ms
2026-05-07 10:34:07 | INFO     | api.api_client | API login successful — token acquired
2026-05-07 10:34:07 | INFO     | api.api_client | ← POST /notes | status=200 | 384ms
2026-05-07 10:34:09 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778130247\nWill be removed via API\nMay 7, 2026 at 05:04:07\nViewEditDelete', 'Honey\nE2E description\nMay 7, 2026 at 03:51:56\nViewEditDelete']
2026-05-07 10:34:10 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260507_103409.png
2026-05-07 10:34:10 | INFO     | api.api_client | ← DELETE /notes/69fc1d4781124e02985c0bcb | status=200 | 280ms
2026-05-07 10:34:10 | INFO     | api.api_client | ← GET /notes | status=200 | 508ms
2026-05-07 10:34:12 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260507_103412.png
2026-05-07 10:34:13 | INFO     | NotesPage | Notes after delete: ['Honey\nE2E description\nMay 7, 2026 at 03:51:56\nViewEditDelete']
2026-05-07 10:34:13 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260507_103413.png
2026-05-07 10:34:13 | INFO     | conftest | Browser closed
