2026-05-06 19:26:29 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 19:26:30 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 19:26:31 | INFO     | LoginPage | Login page loaded
2026-05-06 19:26:31 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 19:26:32 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 19:26:34 | INFO     | conftest | UI login complete
2026-05-06 19:26:34 | INFO     | NotesPage | Already on dashboard page
2026-05-06 19:26:34 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 19:26:34 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 19:26:34 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 19:26:35 | WARNING  | NotesPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
2026-05-06 19:27:07 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/FAIL_test_create_note_all_empty_20260506_192707.png
2026-05-06 19:27:07 | INFO     | conftest | Browser closed
