2026-05-06 21:59:47 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 21:59:48 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 21:59:49 | INFO     | LoginPage | Login page loaded
2026-05-06 21:59:49 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 21:59:50 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 21:59:52 | INFO     | conftest | UI login complete
2026-05-06 21:59:52 | INFO     | NotesPage | Already on dashboard page
2026-05-06 21:59:52 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:59:52 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 21:59:52 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:59:52 | INFO     | api.api_client | ← POST /users/login | status=200 | 540ms
2026-05-06 21:59:52 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 21:59:53 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., 'Add Note')]") — falling back to JS click
2026-05-06 21:59:55 | WARNING  | NotesPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
2026-05-06 21:59:56 | INFO     | NotesPage | Note submitted: E2E Note 1778084992
2026-05-06 22:00:06 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-01-UI-success_20260506_220006.png
2026-05-06 22:00:06 | INFO     | NotesPage | Already on dashboard page
2026-05-06 22:00:06 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 22:00:08 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 22:00:10 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 22:00:12 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 22:00:12 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-01-UI-note-visible_20260506_220012.png
2026-05-06 22:00:13 | INFO     | api.api_client | ← GET /notes | status=200 | 750ms
2026-05-06 22:00:13 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/FAIL_test_ui_create_note_visible_in_api_20260506_220013.png
2026-05-06 22:00:13 | INFO     | conftest | Browser closed
