2026-05-06 23:23:39 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 23:23:40 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 23:23:42 | INFO     | LoginPage | Login page loaded
2026-05-06 23:23:42 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 23:23:43 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 23:23:45 | INFO     | conftest | UI login complete
2026-05-06 23:23:45 | INFO     | NotesPage | Already on dashboard page
2026-05-06 23:23:45 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:23:45 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 23:23:45 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:23:46 | INFO     | api.api_client | ← POST /users/login | status=200 | 798ms
2026-05-06 23:23:46 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 23:23:47 | INFO     | api.api_client | ← POST /notes | status=200 | 818ms
2026-05-06 23:23:50 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778090026\nWill be removed via API\nMay 6, 2026 at 17:53:46\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:23:50 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260506_232350.png
2026-05-06 23:23:50 | INFO     | api.api_client | ← DELETE /notes/69fb802a81124e02985b9b1c | status=200 | 308ms
2026-05-06 23:23:51 | INFO     | api.api_client | ← GET /notes | status=200 | 681ms
2026-05-06 23:23:53 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260506_232352.png
2026-05-06 23:23:55 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:23:55 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260506_232355.png
2026-05-06 23:23:55 | INFO     | conftest | Browser closed
