2026-05-06 23:44:24 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 23:44:25 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 23:44:26 | INFO     | LoginPage | Login page loaded
2026-05-06 23:44:26 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 23:44:27 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 23:44:29 | INFO     | conftest | UI login complete
2026-05-06 23:44:29 | INFO     | NotesPage | Already on dashboard page
2026-05-06 23:44:29 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:44:29 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 23:44:29 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:44:29 | INFO     | api.api_client | ← POST /users/login | status=200 | 444ms
2026-05-06 23:44:29 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 23:44:30 | INFO     | api.api_client | ← POST /notes | status=200 | 592ms
2026-05-06 23:44:32 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778091269\nWill be removed via API\nMay 6, 2026 at 18:14:30\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:44:32 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260506_234432.png
2026-05-06 23:44:33 | INFO     | api.api_client | ← DELETE /notes/69fb850681124e02985ba27d | status=200 | 318ms
2026-05-06 23:44:33 | INFO     | api.api_client | ← GET /notes | status=200 | 541ms
2026-05-06 23:44:35 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260506_234435.png
2026-05-06 23:44:36 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:44:36 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260506_234436.png
2026-05-06 23:44:36 | INFO     | conftest | Browser closed
