2026-05-06 19:25:04 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 19:25:06 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 19:25:08 | INFO     | LoginPage | Login page loaded
2026-05-06 19:25:08 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 19:25:08 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 19:25:10 | INFO     | conftest | UI login complete
2026-05-06 19:25:10 | INFO     | NotesPage | Already on dashboard page
2026-05-06 19:25:10 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 19:25:10 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 19:25:10 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 19:25:11 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., 'Add Note')]") — falling back to JS click
2026-05-06 19:25:12 | WARNING  | NotesPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
2026-05-06 19:25:44 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/FAIL_test_create_note_missing_title_20260506_192544.png
2026-05-06 19:25:45 | INFO     | conftest | Browser closed
