2026-05-06 22:12:37 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 22:12:38 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 22:12:39 | INFO     | LoginPage | Login page loaded
2026-05-06 22:12:39 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 22:12:40 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 22:12:42 | INFO     | conftest | UI login complete
2026-05-06 22:12:42 | INFO     | NotesPage | Already on dashboard page
2026-05-06 22:12:42 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 22:12:42 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 22:12:42 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 22:12:43 | INFO     | api.api_client | ← POST /users/login | status=200 | 751ms
2026-05-06 22:12:43 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 22:12:43 | INFO     | api.api_client | ← POST /notes | status=200 | 882ms
2026-05-06 22:12:46 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778085763\nWill be removed via API\nMay 6, 2026 at 16:42:43\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 22:12:46 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260506_221246.png
2026-05-06 22:12:47 | INFO     | api.api_client | ← DELETE /notes/69fb6f8381124e02985b8388 | status=200 | 516ms
2026-05-06 22:12:47 | INFO     | api.api_client | ← GET /notes | status=200 | 518ms
2026-05-06 22:12:48 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260506_221248.png
2026-05-06 22:12:50 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 22:12:50 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260506_221250.png
2026-05-06 22:12:50 | INFO     | conftest | Browser closed
