2026-05-06 21:20:38 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 21:20:39 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 21:20:40 | INFO     | LoginPage | Login page loaded
2026-05-06 21:20:40 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 21:20:41 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 21:20:43 | INFO     | conftest | UI login complete
2026-05-06 21:20:43 | INFO     | NotesPage | Already on dashboard page
2026-05-06 21:20:43 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:20:43 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 21:20:43 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:20:44 | INFO     | api.api_client | ← POST /users/login | status=200 | 681ms
2026-05-06 21:20:44 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 21:20:44 | INFO     | api.api_client | ← POST /notes | status=200 | 362ms
2026-05-06 21:20:46 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778082644\nWill be removed via API\nMay 6, 2026 at 15:50:44\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01Programming\nViewEditDelete']
2026-05-06 21:20:46 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260506_212046.png
2026-05-06 21:20:47 | INFO     | api.api_client | ← DELETE /notes/69fb635481124e02985b6ead | status=200 | 526ms
2026-05-06 21:20:47 | INFO     | api.api_client | ← GET /notes | status=200 | 299ms
2026-05-06 21:20:48 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260506_212048.png
2026-05-06 21:20:50 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 21:20:50 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260506_212050.png
2026-05-06 21:20:50 | INFO     | conftest | Browser closed
