2026-05-07 10:33:24 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 10:33:25 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 10:33:26 | INFO     | LoginPage | Login page loaded
2026-05-07 10:33:26 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 10:33:27 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 10:33:29 | INFO     | conftest | UI login complete
2026-05-07 10:33:29 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:33:29 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:33:29 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 10:33:29 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:33:29 | INFO     | api.api_client | ← POST /users/login | status=200 | 650ms
2026-05-07 10:33:29 | INFO     | api.api_client | API login successful — token acquired
2026-05-07 10:33:30 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., '+ Add Note')]") — falling back to JS click
2026-05-07 10:33:33 | INFO     | NotesPage | Note submitted: E2E Note 1778130209
2026-05-07 10:33:55 | INFO     | NotesPage | Dashboard visible after save | URL=https://practice.expandtesting.com/notes/app
2026-05-07 10:33:55 | INFO     | NotesPage | Opened All tab
2026-05-07 10:33:58 | INFO     | NotesPage | [WAIT] Attempt 1 → titles=['E2E Note 1778130209', 'Honey']
2026-05-07 10:33:58 | INFO     | NotesPage | Found note: E2E Note 1778130209
2026-05-07 10:33:58 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-01-UI-success_20260507_103358.png
2026-05-07 10:33:59 | INFO     | api.api_client | ← GET /notes | status=200 | 426ms
2026-05-07 10:34:00 | INFO     | NotesPage | Opened All tab
2026-05-07 10:34:00 | INFO     | NotesPage | Visible note titles: ['E2E Note 1778130209', 'Honey']
2026-05-07 10:34:00 | INFO     | NotesPage | Checking note existence | Expected='E2E Note 1778130209' | Visible=['E2E Note 1778130209', 'Honey']
2026-05-07 10:34:00 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-01-UI-note-visible_20260507_103400.png
2026-05-07 10:34:00 | INFO     | api.api_client | ← DELETE /notes/69fc1d2581124e02985c0b64 | status=200 | 394ms
2026-05-07 10:34:01 | INFO     | conftest | Browser closed
