2026-05-06 23:31:41 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 23:31:43 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 23:31:44 | INFO     | LoginPage | Login page loaded
2026-05-06 23:31:44 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 23:31:44 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 23:31:46 | INFO     | conftest | UI login complete
2026-05-06 23:31:46 | INFO     | NotesPage | Already on dashboard page
2026-05-06 23:31:46 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:31:46 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 23:31:46 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:31:47 | INFO     | api.api_client | ← POST /users/login | status=200 | 669ms
2026-05-06 23:31:47 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 23:31:48 | INFO     | api.api_client | ← POST /notes | status=200 | 799ms
2026-05-06 23:31:51 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778090507\nWill be removed via API\nMay 6, 2026 at 18:01:47\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:31:51 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260506_233151.png
2026-05-06 23:31:51 | INFO     | api.api_client | ← DELETE /notes/69fb820b81124e02985b9dc4 | status=200 | 269ms
2026-05-06 23:31:52 | INFO     | api.api_client | ← GET /notes | status=200 | 278ms
2026-05-06 23:31:53 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260506_233153.png
2026-05-06 23:31:54 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:31:54 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260506_233154.png
2026-05-06 23:31:54 | INFO     | conftest | Browser closed
