2026-05-06 22:02:10 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 22:02:11 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 22:02:12 | INFO     | LoginPage | Login page loaded
2026-05-06 22:02:12 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 22:02:13 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 22:02:15 | INFO     | conftest | UI login complete
2026-05-06 22:02:15 | INFO     | NotesPage | Already on dashboard page
2026-05-06 22:02:15 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 22:02:15 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 22:02:15 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 22:02:16 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., 'Add Note')]") — falling back to JS click
2026-05-06 22:02:17 | WARNING  | NotesPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
2026-05-06 22:02:49 | INFO     | NotesPage | Success banner found in DOM
2026-05-06 22:02:49 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-NEG-02-PASS_20260506_220249.png
2026-05-06 22:02:50 | INFO     | conftest | Browser closed
