2026-05-06 23:49:15 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 23:49:16 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 23:49:17 | INFO     | LoginPage | Login page loaded
2026-05-06 23:49:18 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 23:49:18 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 23:49:20 | INFO     | conftest | UI login complete
2026-05-06 23:49:20 | INFO     | NotesPage | Already on dashboard page
2026-05-06 23:49:20 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:49:20 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 23:49:20 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:49:21 | INFO     | api.api_client | ← POST /users/login | status=200 | 443ms
2026-05-06 23:49:21 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 23:49:21 | INFO     | api.api_client | ← POST /notes | status=200 | 601ms
2026-05-06 23:49:24 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778091561\nWill be removed via API\nMay 6, 2026 at 18:19:21\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:49:24 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260506_234924.png
2026-05-06 23:49:24 | INFO     | api.api_client | ← DELETE /notes/69fb862981124e02985ba457 | status=200 | 274ms
2026-05-06 23:49:24 | INFO     | api.api_client | ← GET /notes | status=200 | 512ms
2026-05-06 23:49:26 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260506_234926.png
2026-05-06 23:49:27 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:49:27 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260506_234927.png
2026-05-06 23:49:27 | INFO     | conftest | Browser closed
