2026-05-06 23:54:13 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 23:54:15 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 23:54:16 | INFO     | LoginPage | Login page loaded
2026-05-06 23:54:16 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 23:54:17 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 23:54:19 | INFO     | conftest | UI login complete
2026-05-06 23:54:19 | INFO     | NotesPage | Already on dashboard page
2026-05-06 23:54:19 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:54:19 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 23:54:19 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:54:19 | INFO     | api.api_client | ← POST /users/login | status=200 | 667ms
2026-05-06 23:54:19 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 23:54:20 | INFO     | api.api_client | ← POST /notes | status=200 | 356ms
2026-05-06 23:54:22 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778091859\nWill be removed via API\nMay 6, 2026 at 18:24:20\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:54:22 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260506_235422.png
2026-05-06 23:54:23 | INFO     | api.api_client | ← DELETE /notes/69fb875481124e02985ba6b4 | status=200 | 274ms
2026-05-06 23:54:23 | INFO     | api.api_client | ← GET /notes | status=200 | 325ms
2026-05-06 23:54:24 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260506_235424.png
2026-05-06 23:54:26 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:54:26 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260506_235426.png
2026-05-06 23:54:26 | INFO     | conftest | Browser closed
