2026-05-07 10:44:55 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 10:44:56 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 10:44:58 | INFO     | LoginPage | Login page loaded
2026-05-07 10:44:58 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 10:44:58 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 10:45:00 | INFO     | conftest | UI login complete
2026-05-07 10:45:00 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:45:01 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:45:01 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 10:45:01 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:45:12 | INFO     | api.api_client | ← POST /users/login | status=200 | 11523ms
2026-05-07 10:45:12 | INFO     | api.api_client | API login successful — token acquired
2026-05-07 10:45:14 | INFO     | NotesPage | Note submitted: E2E Note 1778130912
2026-05-07 10:45:36 | INFO     | NotesPage | Dashboard visible after save | URL=https://practice.expandtesting.com/notes/app
2026-05-07 10:45:36 | INFO     | NotesPage | Opened All tab
2026-05-07 10:45:40 | INFO     | NotesPage | [WAIT] Attempt 1 → titles=['E2E Note 1778130912', 'Instant Visibility 1778130368', 'Automation Note 1778130283', 'Honey']
2026-05-07 10:45:40 | INFO     | NotesPage | Found note: E2E Note 1778130912
2026-05-07 10:45:40 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-01-UI-success_20260507_104540.png
2026-05-07 10:45:40 | INFO     | api.api_client | ← GET /notes | status=200 | 509ms
2026-05-07 10:45:42 | INFO     | NotesPage | Opened All tab
2026-05-07 10:45:42 | INFO     | NotesPage | Visible note titles: ['E2E Note 1778130912', 'Instant Visibility 1778130368', 'Automation Note 1778130283', 'Honey']
2026-05-07 10:45:42 | INFO     | NotesPage | Checking note existence | Expected='E2E Note 1778130912' | Visible=['E2E Note 1778130912', 'Instant Visibility 1778130368', 'Automation Note 1778130283', 'Honey']
2026-05-07 10:45:42 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-01-UI-note-visible_20260507_104542.png
2026-05-07 10:45:42 | INFO     | api.api_client | ← DELETE /notes/69fc1fe281124e02985c15fb | status=200 | 312ms
2026-05-07 10:45:42 | INFO     | conftest | Browser closed
