2026-05-07 00:15:58 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 00:16:00 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 00:16:01 | INFO     | LoginPage | Login page loaded
2026-05-07 00:16:01 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 00:16:01 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 00:16:03 | INFO     | conftest | UI login complete
2026-05-07 00:16:03 | INFO     | NotesPage | Already on dashboard page
2026-05-07 00:16:03 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 00:16:03 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 00:16:03 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 00:16:04 | INFO     | api.api_client | ← POST /users/login | status=200 | 683ms
2026-05-07 00:16:04 | INFO     | api.api_client | API login successful — token acquired
2026-05-07 00:16:05 | INFO     | api.api_client | ← POST /notes | status=200 | 639ms
2026-05-07 00:16:07 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778093164\nWill be removed via API\nMay 6, 2026 at 18:46:05\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-07 00:16:07 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260507_001607.png
2026-05-07 00:16:08 | INFO     | api.api_client | ← DELETE /notes/69fb8c6d81124e02985bac65 | status=200 | 529ms
2026-05-07 00:16:08 | INFO     | api.api_client | ← GET /notes | status=200 | 278ms
2026-05-07 00:16:10 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260507_001609.png
2026-05-07 00:16:11 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-07 00:16:11 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260507_001611.png
2026-05-07 00:16:11 | INFO     | conftest | Browser closed
