2026-05-06 21:49:45 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 21:49:46 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 21:49:47 | INFO     | LoginPage | Login page loaded
2026-05-06 21:49:48 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 21:49:48 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 21:49:50 | INFO     | conftest | UI login complete
2026-05-06 21:49:50 | INFO     | NotesPage | Already on dashboard page
2026-05-06 21:49:50 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:49:50 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 21:49:50 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:49:51 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., 'Add Note')]") — falling back to JS click
2026-05-06 21:49:52 | WARNING  | NotesPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
2026-05-06 21:50:24 | INFO     | NotesPage | Success banner found in DOM
2026-05-06 21:50:24 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-NEG-02-PASS_20260506_215024.png
2026-05-06 21:50:25 | INFO     | conftest | Browser closed
