2026-05-07 00:31:38 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 00:31:40 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 00:31:41 | INFO     | LoginPage | Login page loaded
2026-05-07 00:31:41 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 00:31:41 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 00:31:43 | INFO     | conftest | UI login complete
2026-05-07 00:31:43 | INFO     | NotesPage | Already on dashboard page
2026-05-07 00:31:43 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 00:31:43 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 00:31:43 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 00:31:44 | INFO     | api.api_client | ← POST /users/login | status=200 | 660ms
2026-05-07 00:31:44 | INFO     | api.api_client | API login successful — token acquired
2026-05-07 00:31:45 | INFO     | api.api_client | ← POST /notes | status=200 | 596ms
2026-05-07 00:31:47 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778094104\nWill be removed via API\nMay 6, 2026 at 19:01:45\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-07 00:31:47 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260507_003147.png
2026-05-07 00:31:48 | INFO     | api.api_client | ← DELETE /notes/69fb901981124e02985bb00e | status=200 | 547ms
2026-05-07 00:31:48 | INFO     | api.api_client | ← GET /notes | status=200 | 529ms
2026-05-07 00:31:50 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260507_003150.png
2026-05-07 00:31:51 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-07 00:31:51 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260507_003151.png
2026-05-07 00:31:51 | INFO     | conftest | Browser closed
