2026-05-06 23:57:35 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 23:57:36 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 23:57:38 | INFO     | LoginPage | Login page loaded
2026-05-06 23:57:38 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 23:57:38 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 23:57:40 | INFO     | conftest | UI login complete
2026-05-06 23:57:40 | INFO     | NotesPage | Already on dashboard page
2026-05-06 23:57:40 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:57:40 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 23:57:40 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 23:57:41 | INFO     | api.api_client | ← POST /users/login | status=200 | 672ms
2026-05-06 23:57:41 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 23:57:41 | INFO     | api.api_client | ← POST /notes | status=200 | 396ms
2026-05-06 23:57:44 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778092061\nWill be removed via API\nMay 6, 2026 at 18:27:41\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:57:44 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260506_235744.png
2026-05-06 23:57:44 | INFO     | api.api_client | ← DELETE /notes/69fb881d81124e02985ba7be | status=200 | 556ms
2026-05-06 23:57:45 | INFO     | api.api_client | ← GET /notes | status=200 | 522ms
2026-05-06 23:57:46 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260506_235746.png
2026-05-06 23:57:48 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 23:57:48 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260506_235748.png
2026-05-06 23:57:48 | INFO     | conftest | Browser closed
