2026-05-07 10:50:09 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 10:50:11 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 10:50:13 | INFO     | LoginPage | Login page loaded
2026-05-07 10:50:13 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 10:50:14 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 10:50:16 | INFO     | conftest | UI login complete
2026-05-07 10:50:16 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:50:16 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:50:16 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 10:50:16 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:50:17 | INFO     | api.api_client | ← POST /users/login | status=200 | 693ms
2026-05-07 10:50:17 | INFO     | api.api_client | API login successful — token acquired
2026-05-07 10:50:17 | INFO     | api.api_client | ← POST /notes | status=200 | 406ms
2026-05-07 10:50:20 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778131217\nWill be removed via API\nMay 7, 2026 at 05:20:17\nViewEditDelete', 'Instant Visibility 1778131074\nShould appear without reload\nMay 7, 2026 at 05:17:56\nViewEditDelete', 'Automation Note 1778130989\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:16:31\nViewEditDelete', 'Instant Visibility 1778130368\nShould appear without reload\nMay 7, 2026 at 05:06:11\nViewEditDelete', 'Automation Note 1778130283\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:04:46\nViewEditDelete', 'Honey\nE2E description\nMay 7, 2026 at 03:51:56\nViewEditDelete']
2026-05-07 10:50:20 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260507_105020.png
2026-05-07 10:50:20 | INFO     | api.api_client | ← DELETE /notes/69fc211181124e02985c1dc5 | status=200 | 529ms
2026-05-07 10:50:20 | INFO     | api.api_client | ← GET /notes | status=200 | 291ms
2026-05-07 10:50:22 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260507_105022.png
2026-05-07 10:50:23 | INFO     | NotesPage | Notes after delete: ['Instant Visibility 1778131074\nShould appear without reload\nMay 7, 2026 at 05:17:56\nViewEditDelete', 'Automation Note 1778130989\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:16:31\nViewEditDelete', 'Instant Visibility 1778130368\nShould appear without reload\nMay 7, 2026 at 05:06:11\nViewEditDelete', 'Automation Note 1778130283\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:04:46\nViewEditDelete', 'Honey\nE2E description\nMay 7, 2026 at 03:51:56\nViewEditDelete']
2026-05-07 10:50:23 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260507_105023.png
2026-05-07 10:50:23 | INFO     | conftest | Browser closed
