2026-05-06 21:20:14 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 21:20:15 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 21:20:17 | INFO     | LoginPage | Login page loaded
2026-05-06 21:20:17 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 21:20:17 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 21:20:19 | INFO     | conftest | UI login complete
2026-05-06 21:20:19 | INFO     | NotesPage | Already on dashboard page
2026-05-06 21:20:19 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:20:19 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 21:20:19 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:20:20 | INFO     | api.api_client | ← POST /users/login | status=200 | 760ms
2026-05-06 21:20:20 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 21:20:21 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., 'Add Note')]") — falling back to JS click
2026-05-06 21:20:22 | WARNING  | NotesPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
2026-05-06 21:20:23 | INFO     | NotesPage | Note submitted: E2E Note 1778082620
2026-05-06 21:20:33 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-01-UI-success_20260506_212033.png
2026-05-06 21:20:33 | INFO     | NotesPage | Already on dashboard page
2026-05-06 21:20:33 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 21:20:35 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 21:20:36 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 21:20:38 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 21:20:38 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/FAIL_test_ui_create_note_visible_in_api_20260506_212038.png
2026-05-06 21:20:38 | INFO     | conftest | Browser closed
