10:54:38 | INFO     | conftest | Launching browser: chrome | headless=False
10:54:38 | INFO     | WDM | xdist worker is: gw3
10:54:38 | INFO     | WDM | ====== WebDriver manager ======
10:54:39 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:39 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:40 | INFO     | WDM | There is no [mac64] chromedriver "147.0.7727.117" for browser google-chrome "147.0.7727" in cache
10:54:40 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:41 | INFO     | WDM | WebDriver version 147.0.7727.117 selected
10:54:41 | INFO     | WDM | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/mac-arm64/chromedriver-mac-arm64.zip
10:54:41 | INFO     | WDM | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/mac-arm64/chromedriver-mac-arm64.zip
10:54:41 | INFO     | WDM | Driver downloading response is 200
10:54:48 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:48 | INFO     | WDM | Driver has been saved in cache [/Users/sjaditya/.wdm/gw3/drivers/chromedriver/mac64/147.0.7727.117]
10:54:49 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
10:54:51 | INFO     | LoginPage | Login page loaded
10:54:51 | DEBUG    | LoginPage | Typing 'hihello@gmail.com' into ('id', 'email')
10:54:51 | DEBUG    | LoginPage | Typing 'Hi@hello' into ('id', 'password')
10:54:51 | INFO     | LoginPage | Login attempted for hihello@gmail.com
10:54:51 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
10:54:53 | INFO     | conftest | UI login complete
10:54:54 | INFO     | NotesPage | Already on dashboard page
10:54:54 | INFO     | NotesPage | Notes dashboard loaded
10:54:54 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
10:54:54 | INFO     | NotesPage | Notes dashboard loaded
10:54:54 | DEBUG    | NotesPage | Clicking ('xpath', "//button[contains(., '+ Add Note')]")
10:54:55 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., '+ Add Note')]") — falling back to JS click
10:54:57 | INFO     | NotesPage | Note submitted: Automation Note 1778131494
10:55:41 | INFO     | NotesPage | No explicit banner — dashboard visible, form closed; treating as success
10:55:41 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-UI-04-success-banner_20260507_105541.png
10:55:41 | INFO     | NotesPage | Already on dashboard page
10:55:41 | INFO     | NotesPage | Notes dashboard loaded
10:55:43 | INFO     | NotesPage | Notes visible in UI: ['Instant Visibility 1778131500\nShould appear without reload\nMay 7, 2026 at 05:25:03\nViewEditDelete', 'Automation Note 1778131494\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:24:58\nViewEditDelete', 'Instant Visibility 1778131342\nShould appear without reload\nMay 7, 2026 at 05:22:25\nViewEditDelete', 'Automation Note 1778131256\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:20:59\nViewEditDelete', 'Instant Visibility 1778131074\nShould appear without reload\nMay 7, 2026 at 05:17:56\nViewEditDelete', 'Automation Note 1778130989\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:16:31\nViewEditDelete', 'Instant Visibility 1778130368\nShould appear without reload\nMay 7, 2026 at 05:06:11\nViewEditDelete', 'Automation Note 1778130283\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:04:46\nViewEditDelete', 'Honey\nE2E description\nMay 7, 2026 at 03:51:56\nViewEditDelete']
10:55:43 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-UI-04-PASS_20260507_105543.png
10:55:43 | INFO     | conftest | Browser closed
